Main New Gloss Cat,Consultant,Main New Gloss,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Combined,Separate,Session,Scene,Start,End,Combined,Separate
,Brady,LIBRARY,LIBRARY+,L,,L,,N,,MOV,ASL_2011_06_14_Brady,48,5855,5890,,MOV
,Lana,LIBRARY,LIBRARY+,L,,L,,N,,MOV,ASL_2006_09_26,61,1856,1895,,MOV
LICENSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LICENSE,LICENSE+,L,L,L,L,N,,MOV,ASL_2008_02_01,48,1745,1780,,MOV
,Tyler,LICENSE,LICENSE,L,L,L,L,N,MOV,MOV,ASL_2008_05_29b,20,1500,1517,MOV,MOV
,Naomi,LICENSE,LICENSE+,L,L,L,L,N,,MOV,ASL_2008_08_13_session2,3,1900,1935,,MOV
,Brady,LICENSE,LICENSE+,L,L,L,L,N,,MOV,ASL_2011_06_14_Brady,48,6062,6090,,MOV
LICK,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LICK,LICK++,bent-U-L,B-L,bent-U-L,B-L,N,,MOV,ASL_2008_02_01,48,2095,2141,,MOV
,Tyler,LICK,LICK+,bent-U,B-L,U/H,B-L,N,MOV,MOV,ASL_2008_05_29b,20,1700,1730,MOV,MOV
,Naomi,LICK,LICK++,U/H,B-L,U/H,B-L,N,,MOV,ASL_2008_08_13_session2,3,2337,2385,,MOV
,Brady,LICK,LICK+,bent-U-L,B-L,U/H,B-L,N,,MOV,ASL_2011_06_14_Brady,48,6645,6672,,MOV
LID,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LID,LID+,crvd-5,S,crvd-5,S,N,MOV,MOV,ASL_2008_02_01,48,2611,2651,MOV,MOV
,Naomi,LID,LID+,crvd-5,S,crvd-5,S,N,,MOV,ASL_2008_08_13_session2,3,2801,2843,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,LID,SCREW-CAP,crvd-5,C,crvd-5,C,N,MOV,MOV,ASL_2008_05_29b,20,2096,2132,MOV,MOV
LIE-DOWN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIE-DOWN,LIE-DOWN,V/2,B-L,V/2,B-L,N,,MOV,ASL_2008_02_01,48,2975,3025,,MOV
,Tyler,LIE-DOWN,LIE-DOWN,V/2,B-L,V/2,B-L,N,MOV,MOV,ASL_2008_05_29b,20,2435,2456,MOV,MOV
,Naomi,LIE-DOWN,LIE-DOWN,V/2,B-L,V/2,B-L,N,,MOV,ASL_2008_08_13_session2,3,3105,3145,,MOV
RESTLESS,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,RESTLESS,RESTLESS,crvd-V,B-L,crvd-V,B-L,N,,MOV,ASL_2008_02_29,13,815,876,,MOV
,Brady,RESTLESS,RESTLESS,crvd-V,B-L,crvd-V,B-L,N,MOV,MOV,ASL_2011_07_19_Brady,58,397,443,MOV,MOV
,Brady,RESTLESS,RESTLESS,crvd-V,B-L,crvd-V,B-L,N,,MOV,ASL_2011_07_19_Brady,58,690,728,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,RESTLESS,(nd-U)RESTLESS++,crvd-V,U/H,crvd-V,U/H,N,MOV,MOV,ASL_2008_02_29,13,1145,1210,MOV,MOV
LIVE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIVE,LIVE,10,10,10,10,N,,MOV,ASL_2008_02_01,51,1716,1760,,MOV
,Liz,LIVE,LIVE,10,10,10,10,N,,MOV,ASL_2008_02_29,14,1395,1427,,MOV
,Naomi,LIVE,LIVE,10,10,10,10,N,,MOV,ASL_2008_08_13_session2,6,1846,1882,,MOV
,Brady,LIVE,LIVE,10,10,10,10,N,MOV,MOV,ASL_2011_06_14_Brady,50,2994,3024,MOV,MOV
,Brady,LIVE,LIVE,10,10,10,10,N,,MOV,ASL_2011_07_19_Brady,59,1912,1939,,MOV
,Lana,LIVE,LIVE,10,10,10,10,N,,MOV,ASL_2006_10_10,17,741,763,,MOV
,Dana,LIVE,LIVE,10,10,10,10,N,,MOV,ASL_2007_05_24,19,710,753,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,LIVE,(L)LIVE,L,L,L,L,N,,MOV,ASL_2008_02_01,49,727,771,,MOV
,Tyler,LIVE,(L)LIVE,L,L,L,L,N,MOV,MOV,ASL_2008_06_10,1,155,197,MOV,MOV
,Tyler,LIVE,(L)LIVE,L,L,L,L,N,,MOV,ASL_2008_06_10,3,1650,1677,,MOV
,Naomi,LIVE,(L)LIVE,L,L,L,L,N,,MOV,ASL_2008_08_13_session2,4,581,615,,MOV
ADDRESS,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ADDRESS,ADDRESS+,10,10,10,10,N,MOV,MOV,ASL_2008_01_11,6,3076,3120,MOV,MOV
,Naomi,ADDRESS,ADDRESS,A,A,A,A,N,,MOV,ASL_2008_08_04,5,1810,1841,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,ADDRESS,ADDRESS_2,A,A,A,A,N,MOV,MOV,ASL_2008_05_12a,6,5385,5420,MOV,MOV
LIFT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIFT,LIFT,crvd-B,crvd-B,crvd-B,crvd-B,N,,MOV,ASL_2008_02_01,49,986,1027,,MOV
,Tyler,LIFT,LIFT,B-L,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_06_10,1,352,385,MOV,MOV
,Naomi,LIFT,LIFT,crvd-B,crvd-B,crvd-B,crvd-B,N,,MOV,ASL_2008_08_13_session2,4,1410,1432,,MOV
HEAVY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,HEAVY,HEAVY,crvd-B,crvd-B,crvd-B,crvd-B,N,,MOV,ASL_2008_02_01,20,2430,2495,,MOV
,Tyler,HEAVY,HEAVY,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2008_05_29a,48,2072,2095,,MOV
,Naomi,HEAVY,HEAVY,crvd-B,crvd-B,crvd-B,crvd-B,N,MOV,MOV,ASL_2008_08_13,16,4905,4940,MOV,MOV
,Brady,HEAVY,HEAVY,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2011_06_14_Brady,33,2122,2140,,MOV
,Lana,HEAVY,HEAVY,5,5,5,5,N,,MOV,ASL_2006_10_10,12,2366,2381,,MOV
,Dana,HEAVY,HEAVY,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2007_05_24,16,2243,2313,,MOV
LIGHT-FLASH,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIGHT-FLASH,LIGHT-FLASH,crvd-sprd-B,crvd-sprd-B,flat-O,flat-O,N,,MOV,ASL_2008_02_01,49,1195,1240,,MOV
,Tyler,LIGHT-FLASH,LIGHT-FLASH,flat-O,flat-O,flat-O,flat-O,N,MOV,MOV,ASL_2008_06_10,1,620,661,MOV,MOV
,Naomi,LIGHT-FLASH,LIGHT-FLASH+,crvd-sprd-B,crvd-sprd-B,flat-O,flat-O,N,,MOV,ASL_2008_08_13_session2,4,1691,1750,,MOV
LIGHT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIGHT,LIGHT+,cocked-8,,open-8,,N,,MOV,ASL_2008_02_01,49,1440,1480,,MOV
,Tyler,LIGHT,LIGHT+,cocked-8,,5,,N,MOV,MOV,ASL_2008_06_10,1,835,890,MOV,MOV
,Naomi,LIGHT,LIGHT+,cocked-8,,open-8,,N,,MOV,ASL_2008_08_13_session2,4,1951,1986,,MOV
CLEAR,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,CLEAR,CLEAR,O,O,5,5,N,,MOV,ASL_2008_02_01,49,1715,1750,,MOV
,Tyler,CLEAR,CLEAR,flat-O,flat-O,5,5,N,MOV,MOV,ASL_2008_06_10,1,1088,1117,MOV,MOV
,Naomi,CLEAR,CLEAR,O,O,5,5,N,,MOV,ASL_2008_08_13_session2,4,2211,2247,,MOV
LIGHTHOUSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIGHTHOUSE,LIGHTHOUSE,flat-O,1,4,1,Y,,MOV,ASL_2008_02_01,49,1990,2040,,MOV
,Tyler,LIGHTHOUSE,LIGHTHOUSE+,flat-O,1,fanned-flat-O,1,Y,MOV,MOV,ASL_2008_06_10,1,1287,1345,MOV,MOV
,Naomi,LIGHTHOUSE,LIGHTHOUSE+,flat-O,D,flat-O,D,Y,,MOV,ASL_2008_08_13_session2,4,2610,2680,,MOV
LIGHT+HOUSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIGHT+HOUSE,LIGHT+HOUSE,cocked-8,B-L,B-L,B-L,N,,MOV,ASL_2008_02_01,49,2299,2352,,MOV
,Tyler,LIGHT+HOUSE,LIGHT++HOUSE,cocked-8,bent-B-L,B-L,B-L,N,MOV,MOV,ASL_2008_06_10,1,1604,1665,MOV,MOV
,Naomi,LIGHT+HOUSE,LIGHT+HOUSE,cocked-8,flat-B,flat-B,flat-B,N,,MOV,ASL_2008_08_13_session2,4,2889,2931,,MOV
LIGHTNING,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIGHTNING,LIGHTNING,1,,1,,N,,MOV,ASL_2008_02_01,49,2645,2690,,MOV
,Tyler,LIGHTNING,LIGHTNING,1,,1,,N,MOV,MOV,ASL_2008_06_10,1,1870,1905,MOV,MOV
,Naomi,LIGHTNING,LIGHTNING,1,,1,,N,,MOV,ASL_2008_08_13_session2,4,3210,3236,,MOV
LIKE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIKE,LIKE,open-8,,8,,N,,MOV,ASL_2008_02_01,50,1140,1172,,MOV
,Tyler,LIKE,LIKE,5,,8,,N,,MOV,ASL_2008_06_10,2,770,801,,MOV
,Naomi,LIKE,LIKE,25,,8,,N,MOV,MOV,ASL_2008_08_13_session2,5,595,622,MOV,MOV
,Lana,LIKE,LIKE,open-8,,8,,N,,MOV,ASL_2006_09_26,61,2083,2107,,MOV
,Lana,LIKE,LIKE,open-8,,8,,N,,MOV,ASL_2006_10_10,17,2316,2331,,MOV
LIMIT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIMIT,LIMIT,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,,MOV,ASL_2008_02_01,50,1510,1555,,MOV
,Tyler,LIMIT,LIMIT,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,MOV,MOV,ASL_2008_06_10,2,1207,1230,MOV,MOV
,Naomi,LIMIT,LIMIT,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,,MOV,ASL_2008_08_13_session2,5,905,925,,MOV
BAKE/OVEN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,BAKE/OVEN,BAKE/OVEN,crvd-flat-B,B-L,crvd-flat-B,B-L,N,,MOV,ASL_2008_01_11,30,581,620,,MOV
,Tyler,BAKE/OVEN,BAKE/OVEN,B-L,bent-B-L,B-L,bent-B-L,N,MOV,MOV,ASL_2008_05_12a,19,4060,4075,MOV,MOV
,Naomi,BAKE/OVEN,BAKE/OVEN,crvd-flat-B,B-L,crvd-flat-B,B-L,N,,MOV,ASL_2008_08_04,19,2403,2433,,MOV
,Brady,BAKE/OVEN,BAKE/OVEN,B-L,bent-B-L,B-L,bent-B-L,N,,MOV,ASL_2011_06_08_Brady,15,6493,6513,,MOV
LINE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LINE,LINE,I,I,I,I,N,,MOV,ASL_2008_02_01,50,1760,1800,,MOV
,Tyler,LINE,LINE,I,I,I,I,N,,MOV,ASL_2008_06_10,2,1467,1505,,MOV
,Tyler,LINE,LINE,I,I,I,I,N,MOV,MOV,ASL_2008_06_10,2,1768,1810,MOV,MOV
,Naomi,LINE,LINE,I,I,I,I,N,,MOV,ASL_2008_08_13_session2,5,1165,1186,,MOV
,Brady,LINE,LINE,I,I,I,I,N,,MOV,ASL_2011_06_14_Brady,50,290,314,,MOV
,Brady,LINE,LINE,I,I,I,I,N,,MOV,ASL_2011_07_22_Brady,16,519,530,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,LINE,(1h)LINE,I,,I,,N,MOV,MOV,ASL_2008_03_28,27,1750,1797,MOV,MOV
STRING,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,STRING,STRING,I,I,I,I,N,MOV,MOV,ASL_2008_02_29,49,2412,2452,MOV,MOV
,Brady,STRING,STRING,I,I,I,I,N,,MOV,ASL_2011_07_19_Brady,101,138,160,,MOV
ROPE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ROPE,ROPE,R,R,R,R,N,MOV,MOV,ASL_2008_02_29,18,4621,4662,MOV,MOV
LINED-PAPER,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LINED-PAPER,LINED-PAPER++,I,B-L,I,B-L,N,MOV,MOV,ASL_2008_02_01,50,2197,2281,MOV,MOV
,Naomi,LINED-PAPER,LINED-PAPER+,I,B-L,I,B-L,N,,MOV,ASL_2008_08_13_session2,5,1491,1546,,MOV
LIPREAD,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIPREAD,LIPREAD+,V/2,,V/2,,N,,MOV,ASL_2008_02_01,50,3050,3096,,MOV
,Tyler,LIPREAD,LIPREAD+,V/2,,V/2,,N,MOV,MOV,ASL_2008_06_10,2,2612,2653,MOV,MOV
,Naomi,LIPREAD,LIPREAD,V/2,,V/2,,N,,MOV,ASL_2008_08_13_session2,5,2430,2453,,MOV
,Brady,LIPREAD,LIPREAD+,V/2,,V/2,,N,,MOV,ASL_2011_06_14_Brady,50,1334,1367,,MOV
LIST,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LIST,LIST,bent-B-L,B-L,bent-B-L,B-L,N,,MOV,ASL_2008_02_01,47,1130,1170,,MOV
,Liz,LIST,LIST+,bent-B-L,B-L,bent-B-L,B-L,N,,MOV,ASL_2008_02_01,51,882,940,,MOV
,Tyler,LIST,LIST++,bent-B-L,B-L,bent-B-L,B-L,N,,MOV,ASL_2008_05_29b,19,2345,2390,,MOV
,Tyler,LIST,LIST++,bent-B-L,B-L,bent-B-L,B-L,N,MOV,MOV,ASL_2008_06_10,3,875,912,MOV,MOV
,Naomi,LIST,LIST,bent-B-L,B-L,bent-B-L,B-L,N,,MOV,ASL_2008_08_13_session2,2,2260,2293,,MOV
,Naomi,LIST,LIST++,bent-B-L,B-L,bent-B-L,B-L,N,,MOV,ASL_2008_08_13_session2,6,622,665,,MOV
,Brady,LIST,LIST+,bent-B-L,B-L,bent-B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,48,3712,3754,,MOV
,Brady,LIST,LIST+,bent-B-L,B-L,bent-B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,50,2314,2366,,MOV
TAKE-NOTES,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,TAKE-NOTES,TAKE-NOTES++,flat-O,B-L,flat-O,B-L,N,MOV,MOV,ASL_2008_02_15,28,1150,1205,MOV,MOV
,Brady,TAKE-NOTES,TAKE-NOTES++,flat-O,B-L,flat-O,B-L,N,,MOV,ASL_2011_07_19_Brady,23,3224,3270,,MOV
FILL-OUT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FILL-OUT,FILL-OUT,flat-O,B-L,flat-O,B-L,N,MOV,MOV,ASL_2008_02_29,11,1075,1107,MOV,MOV
,Brady,FILL-OUT,FILL-OUT,flat-O,B-L,flat-O,B-L,N,,MOV,ASL_2011_07_19_Brady,56,962,1005,,MOV
COURSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,COURSE,COURSE,C,B-L,C,B-L,N,,MOV,ASL_2008_01_18,6,3225,3252,,MOV
,Tyler,COURSE,COURSE,C,B-L,C,B-L,N,,MOV,ASL_2008_05_12b,6,2910,2935,,MOV
,Naomi,COURSE,COURSE,C,B-L,C,B-L,N,MOV,MOV,ASL_2008_08_06,6,2505,2540,MOV,MOV
,Brady,COURSE,COURSE,C,B-L,C,B-L,N,,MOV,ASL_2011_06_08_Brady,30,11049,11082,,MOV
,Lana,COURSE,COURSE,C,B-L,C,B-L,N,,MOV,ASL_2006_10_10,6,1424,1443,,MOV
HEAR/LISTEN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,HEAR/LISTEN,HEAR/LISTEN,C,,C,,N,,MOV,ASL_2008_02_01,51,1112,1156,,MOV
,Naomi,HEAR/LISTEN,HEAR/LISTEN,crvd-5,,crvd-5,,N,MOV,MOV,ASL_2008_08_13_session2,6,895,925,MOV,MOV
,Brady,HEAR/LISTEN,HEAR/LISTEN,crvd-5,,crvd-5,,N,,MOV,ASL_2011_06_14_Brady,50,2596,2625,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,HEAR/LISTEN,(3)LISTEN++,crvd-3,,crvd-3,,N,MOV,MOV,ASL_2008_06_10,3,1076,1097,MOV,MOV
PERCEIVE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,PERCEIVE,PERCEIVE+,3,3,crvd-3,crvd-3,N,MOV,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,22,300,355,MOV,MOV
,Brady,PERCEIVE,PERCEIVE+,3,3,crvd-V,crvd-V,N,,MOV,ASL_2011_07_19_Brady,30,152,175,,MOV
SMALL,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,SMALL,SMALL+,B-L,B-L,B-L,B-L,N,,MOV,ASL_2008_02_01,51,1475,1520,,MOV
,Naomi,SMALL,SMALL+,B-L,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_08_13_session2,6,1357,1395,MOV,MOV
,Brady,SMALL,SMALL+,B-L,B-L,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,50,2800,2832,,MOV
ns-LONDON,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ns-LONDON,ns-LONDON,L,,L,,N,,MOV,ASL_2008_02_01,52,520,570,,MOV
,Naomi,ns-LONDON,ns-LONDON,L,,L,,N,MOV,MOV,ASL_2008_08_13_session2,7,255,285,MOV,MOV
,Brady,ns-LONDON,ns-LONDON,L,,L,,N,,MOV,ASL_2011_06_14_Brady,50,5644,5685,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,ns-LONDON,ns-LONDON_2,L,,L,,N,MOV,MOV,ASL_2008_06_10,4,545,590,MOV,MOV
LONG,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LONG,LONG,1,Rlxd,1,Rlxd,Y,,MOV,ASL_2008_02_01,52,1405,1457,,MOV
,Tyler,LONG,LONG,1,Rlxd,1,Rlxd,Y,MOV,MOV,ASL_2008_06_10,4,1305,1350,MOV,MOV
,Naomi,LONG,LONG,1,Rlxd,1,Rlxd,Y,,MOV,ASL_2008_08_13_session2,7,1111,1135,,MOV
,Brady,LONG,LONG,1,S,1,S,Y,,MOV,ASL_2011_06_14_Brady,51,405,434,,MOV
SEARCH-FOR,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,SEARCH-FOR,SEARCH-FOR++,C,,C,,N,,MOV,ASL_2008_02_01,53,275,355,,MOV
,Tyler,SEARCH-FOR,SEARCH-FOR++,C,,C,,N,MOV,MOV,ASL_2008_06_10,4,2765,2832,MOV,MOV
,Naomi,SEARCH-FOR,SEARCH-FOR++,C,,C,,N,,MOV,ASL_2008_08_13_session2,7,3072,3142,,MOV
,Brady,SEARCH-FOR,SEARCH-FOR+,C,,C,,N,,MOV,ASL_2011_06_14_Brady,51,2626,2683,,MOV
LOSE-COMPETITION,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LOSE-COMPETITION,LOSE-COMPETITION,V/2,B-L,V/2,B-L,N,,MOV,ASL_2008_02_01,54,1035,1080,,MOV
,Naomi,LOSE-COMPETITION,LOSE-COMPETITION,V/2,B-L,V/2,B-L,N,,MOV,ASL_2008_08_13_session2,9,1195,1222,,MOV
,Brady,LOSE-COMPETITION,LOSE-COMPETITION,V/2,B-L,V/2,B-L,N,MOV,MOV,ASL_2011_06_14_Brady,52,3211,3237,MOV,MOV
,Lana,LOSE-COMPETITION,LOSE-COMPETITION,V/2,B-L,V/2,B-L,N,,MOV,ASL_2006_10_10,16,1156,1169,,MOV
,Dana,LOSE-COMPETITION,LOSE-COMPETITION,V/2,B-L,V/2,B-L,N,,MOV,ASL_2007_05_24,19,1117,1162,,MOV
INTERCOURSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,INTERCOURSE,INTERCOURSE+,V/2,crvd-V,V/2,crvd-V,N,,MOV,ASL_2008_02_01,33,2116,2160,,MOV
,Naomi,INTERCOURSE,INTERCOURSE,V/2,V/2,V/2,V/2,N,MOV,MOV,ASL_2008_08_13,27,2540,2572,MOV,MOV
,Brady,INTERCOURSE,INTERCOURSE+,V/2,V/2,V/2,V/2,N,,MOV,ASL_2011_06_14_Brady,41,436,472,,MOV
LOSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LOSE,LOSE,flat-O,flat-O,5,5,N,,MOV,ASL_2008_02_01,54,1275,1315,,MOV
,Tyler,LOSE,LOSE,flat-O,flat-O,5,5,N,MOV,MOV,ASL_2008_06_10,6,1950,1975,MOV,MOV
,Naomi,LOSE,LOSE,flat-O,flat-O,5,5,N,,MOV,ASL_2008_08_13_session2,9,1450,1471,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Brady,LOSE,LOSE_2,flat-O,flat-O,5,5,N,MOV,MOV,ASL_2011_06_14_Brady,52,3500,3517,MOV,MOV
SPEAKERS,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,SPEAKERS,SPEAKERS+,S,S,crvd-5,crvd-5,N,,MOV,ASL_2008_02_01,54,5105,5172,,MOV
,Naomi,SPEAKERS,SPEAKERS+,S,S,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_08_13_session2,9,3155,3205,MOV,MOV
,Brady,SPEAKERS,SPEAKERS+,S,S,crvd-5,crvd-5,N,,MOV,ASL_2011_06_14_Brady,52,6627,6665,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,SPEAKERS,SPEAKERS_2+,O,O,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_06_10,6,3555,3593,MOV,MOV
LOUDSPEAKER,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LOUDSPEAKER,LOUDSPEAKER+,5,5,crvd-5,crvd-5,N,,MOV,ASL_2008_02_01,54,2266,2355,,MOV
,Naomi,LOUDSPEAKER,LOUDSPEAKER+,crvd-5,crvd-5,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_08_13_session2,9,2900,2952,MOV,MOV
,Brady,LOUDSPEAKER,LOUDSPEAKER+,5,5,5,5,N,,MOV,ASL_2011_06_14_Brady,52,6318,6350,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,LOUDSPEAKER,LOUDSPEAKER_2+,5,5,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_06_10,6,3241,3273,MOV,MOV
SUITCASE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,SUITCASE,SUITCASE++,S,,S,,N,,MOV,ASL_2008_02_01,55,1760,1807,,MOV
,Naomi,SUITCASE,SUITCASE++,S,,S,,N,MOV,MOV,ASL_2008_08_13_session2,10,2320,2365,MOV,MOV
,Brady,SUITCASE,SUITCASE++,S,,S,,N,,MOV,ASL_2011_06_14_Brady,52,8248,8277,,MOV
CARRY-SUITCASE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Tyler,CARRY-SUITCASE,CARRY-SUITCASE++,S,S,S,S,N,MOV,MOV,ASL_2008_06_10,7,1270,1310,MOV,MOV
LUNCH,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LUNCH,LUNCH+,L,,L,,N,,MOV,ASL_2008_02_01,55,2025,2060,,MOV
,Tyler,LUNCH,LUNCH+,L,,L,,N,MOV,MOV,ASL_2008_06_10,7,1547,1580,MOV,MOV
,Naomi,LUNCH,LUNCH+,L,,L,,N,,MOV,ASL_2008_08_13_session2,10,2645,2690,,MOV
,Brady,LUNCH,LUNCH++,L,,L,,N,,MOV,ASL_2011_06_14_Brady,52,8481,8509,,MOV
M,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,M,M,M,,M,,N,,MOV,ASL_2008_02_01,55,3095,3136,,MOV
,Tyler,M,M,full-M,,full-M,,N,MOV,MOV,ASL_2008_06_10,7,4085,4133,MOV,MOV
,Naomi,M,M,bent-M,,bent-M,,N,,MOV,ASL_2008_08_13_session2,10,3932,3975,,MOV
,Brady,M,M,bent-M,,bent-M,,N,,MOV,ASL_2011_06_14_Brady,53,1607,1633,,MOV
MACHINE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,MACHINE,MACHINE+,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2008_02_01,56,1805,1860,,MOV
,Liz,MACHINE,MACHINE+,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2008_02_15,10,4016,4072,,MOV
,Liz,MACHINE,MACHINE+,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,27,1375,1427,,MOV
,Tyler,MACHINE,MACHINE++,5-C-L,5-C-L,5-C-L,5-C-L,N,,MOV,ASL_2008_05_29a,11,2838,2915,,MOV
,Tyler,MACHINE,MACHINE++,5-C-L,5-C-L,5-C-L,5-C-L,N,,MOV,ASL_2008_06_10,8,1137,1183,,MOV
,Tyler,MACHINE,MACHINE++,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2008_06_10,19,4552,4598,,MOV
,Naomi,MACHINE,MACHINE++,crvd-5,crvd-5,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_08_13_session2,11,2360,2411,MOV,MOV
,Brady,MACHINE,MACHINE+,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2011_06_14_Brady,12,2271,2294,,MOV
,Brady,MACHINE,MACHINE+++,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2011_06_14_Brady,12,4118,4135,,MOV
,Brady,MACHINE,MACHINE++,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2011_06_14_Brady,15,5057,5111,,MOV
,Brady,MACHINE,MACHINE++,crvd-5,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2011_06_14_Brady,53,3097,3137,,MOV
,Lana,MACHINE,MACHINE+,5-C-L,5-C-L,5-C-L,5-C-L,N,,MOV,ASL_2006_10_10,18,2303,2322,,MOV
,Dana,MACHINE,MACHINE++,5-C,5-C,5-C,5-C,N,,MOV,ASL_2007_05_24,20,2227,2303,,MOV
