consultant,gloss,gloss_variant,session,scene,start,end
Brady,POSS+:i,POSS-pl-arc,ASL_2011_07_19_Brady,113,4302,4328
Liz,POSS-2p,POSS-2p,ASL_2008_03_28,48,1095,1120
Brady,POSS-2p,POSS-2p,ASL_2011_07_22_Brady,36,2481,2516
Brady,POSS-2p,POSS-2p-arc,ASL_2011_07_22_Brady,36,2736,2775
Liz,HIGH,HIGH,ASL_2008_02_01,22,1492,1531
Tyler,HIGH,HIGH,ASL_2008_05_29a,48,2295,2325
Tyler,HIGH,HIGH,ASL_2008_05_29a,50,1080,1102
Naomi,HIGH,HIGH,ASL_2008_08_13,18,1840,1855
Brady,HIGH,HIGH,ASL_2011_06_14_Brady,34,1218,1234
Lana,HIGH,HIGH,ASL_2006_10_10,14,2430,2458
Dana,HIGH,HIGH,ASL_2007_05_24,17,2732,2766
Liz,HIGHWAY,HIGHWAY+,ASL_2008_02_01,22,1771,1825
Naomi,HIGHWAY,HIGHWAY+,ASL_2008_08_13,18,2182,2202
Brady,HIGHWAY,HIGHWAY+,ASL_2011_06_14_Brady,34,2119,2142
Tyler,HIGHWAY,HIGHWAY_2,ASL_2008_05_29a,50,1275,1317
Liz,SELF-1p,SELF-1p+,ASL_2008_02_15,14,1165,1210
Tyler,SELF-1p,SELF-1p++,ASL_2008_06_10,22,688,741
Liz,SELF-1p,(A)SELF-1p+,ASL_2008_02_15,14,966,1015
Brady,SELF-1p,SELF-1p-pl,ASL_2011_07_19_Brady,23,2340,2370
Liz,SELF-1p,(A)SELF-1p-pl,ASL_2008_02_15,28,530,577
Liz,SELF+:i,SELF+:i,ASL_2008_02_01,22,2260,2301
Liz,SELF+:i,SELF+:i,ASL_2008_02_29,25,3020,3037
Tyler,SELF+:i,SELF++:i,ASL_2008_05_29a,50,1775,1800
Naomi,SELF+:i,SELF+:i,ASL_2008_08_13,18,4030,4055
Brady,SELF+:i,SELF+:i,ASL_2011_06_14_Brady,34,3341,3369
Liz,SELF+:i,SELF+:i/j,ASL_2008_03_28,9,1355,1390
Liz,SELF+:i,SELF+++:i/j/k/l,ASL_2008_03_28,48,1817,1870
Brady,SELF+:i,SELF++:i/j/k,ASL_2011_07_19_Brady,113,4713,4755
Liz,SELF-2p,SELF-2p,ASL_2008_03_28,48,1571,1600
Brady,SELF-2p,SELF-2p,ASL_2011_07_19_Brady,76,341,355
Brady,SELF-2p,SELF-2p,ASL_2011_07_22_Brady,36,2984,2998
Brady,SELF-2p,SELF_2-2p++++,ASL_2011_07_22_Brady,36,3209,3269
Liz,LONG-AGO,LONG-AGO+,ASL_2008_02_01,52,1007,1091
Tyler,LONG-AGO,LONG-AGO,ASL_2008_06_10,4,1052,1097
Naomi,LONG-AGO,LONG-AGO+,ASL_2008_08_13_session2,7,820,895
Brady,LONG-AGO,LONG-AGO+,ASL_2011_06_14_Brady,51,800,859
Liz,LONG-AGO,(2h)alt.LONG-AGO+,ASL_2008_02_01,22,2715,2800
Tyler,LONG-AGO,(2h)alt.LONG-AGO+,ASL_2008_05_12a,11,1280,1332
Naomi,LONG-AGO,(2h)alt.LONG-AGO+,ASL_2008_08_13,18,4617,4670
Brady,LONG-AGO,(2h)alt.LONG-AGO+,ASL_2011_06_14_Brady,34,3758,3811
Liz,HISTORY,HISTORY++,ASL_2008_02_01,23,246,300
Tyler,HISTORY,HISTORY++,ASL_2008_05_29a,50,2717,2760
Naomi,HISTORY,HISTORY++,ASL_2008_08_13,18,4950,4995
Brady,HISTORY,HISTORY+,ASL_2011_06_14_Brady,34,3991,4020
Lana,HISTORY,HISTORY+,ASL_2006_10_10,14,2724,2754
Dana,HISTORY,HISTORY++,ASL_2007_05_24,17,3004,3056
Liz,SUSPEND,SUSPEND,ASL_2008_02_01,23,820,877
Tyler,SUSPEND,SUSPEND,ASL_2008_05_29a,51,945,977
Naomi,SUSPEND,SUSPEND,ASL_2008_08_13,19,1118,1163
Brady,SUSPEND,SUSPEND,ASL_2011_06_14_Brady,34,4964,4998
Liz,HOLY,HOLY,ASL_2008_02_01,23,2027,2085
Tyler,HOLY,HOLY,ASL_2008_05_29a,51,2335,2370
Brady,fs-HOLY,fs-HOLY,ASL_2011_06_14_Brady,35,2102,2125
Liz,HOME,HOME,ASL_2008_02_01,23,2780,2820
Liz,HOME,HOME,ASL_2010_08_10_Liz_additional_lexicon_signs,8,2130,2176
Tyler,HOME,HOME,ASL_2008_05_29a,51,2562,2585
Naomi,HOME,HOME,ASL_2008_08_13,19,4800,4822
Brady,HOME,HOME,ASL_2011_06_14_Brady,35,2469,2489
Brady,HOME,HOME,ASL_2011_07_19_Brady,23,237,263
Lana,HOME,HOME,ASL_2006_10_10,15,348,378
Dana,HOME,HOME,ASL_2007_05_24,18,303,342
Liz,DORM,DORM,ASL_2008_01_18,22,1895,1925
Tyler,DORM,DORM,ASL_2008_05_29a,2,2906,2936
Naomi,DORM,DORM,ASL_2008_08_06,22,1917,1940
Brady,DORM,DORM,ASL_2011_06_14_Brady,6,2839,2864
Brady,HOMEWORK,HOMEWORK,ASL_2011_06_14_Brady,35,2718,2737
Liz,HOME+WORK,HOME+WORK+,ASL_2008_02_01,23,3020,3071
Tyler,HOME+WORK,HOME+WORK+,ASL_2008_05_29a,51,2750,2787
Naomi,HOME+WORK,HOME+WORK,ASL_2008_08_13,19,4985,5008
Lana,HOME+WORK,HOME+WORK+,ASL_2006_10_10,14,932,985
Dana,HOME+WORK,HOME+WORK,ASL_2007_05_24,17,1297,1350
Tyler,HONEY/DEAR,HONEY/DEAR,ASL_2008_05_29a,51,3190,3215
Brady,HONEY/DEAR,HONEY/DEAR,ASL_2011_06_14_Brady,35,2956,2981
Liz,ns-nat-HONG-KONG,ns-nat-HONG-KONG,ASL_2008_02_01,24,692,719
Brady,ns-nat-HONG-KONG,ns-nat-HONG-KONG,ASL_2011_06_14_Brady,35,3795,3819
Liz,CAR-HORN,CAR-HORN+,ASL_2008_02_01,24,1002,1055
Tyler,CAR-HORN,CAR-HORN+,ASL_2008_05_29a,52,1910,1950
Brady,CAR-HORN,CAR-HORN+,ASL_2011_06_14_Brady,35,4128,4149
Naomi,CAR-HORN,CAR-HORN_2+,ASL_2008_08_13,20,2015,2053
Tyler,HONOR,HONOR,ASL_2008_05_29a,52,2156,2182
Naomi,HONOR,HONOR,ASL_2008_08_13,20,5096,5135
Liz,HONOR,(1h)HONOR,ASL_2008_02_01,24,1220,1255
Brady,HONOR,(1h)HONOR,ASL_2011_06_14_Brady,35,4391,4413
Liz,RESPECT,RESPECT,ASL_2010_08_10_Liz_additional_lexicon_signs,7,3210,3260
Brady,RESPECT,RESPECT,ASL_2011_07_19_Brady,57,1822,1849
Liz,RESPECT,(1h)RESPECT,ASL_2008_02_29,12,1815,1847
Brady,RESPECT,(1h)RESPECT,ASL_2011_07_19_Brady,57,1626,1657
Liz,HOPE,HOPE+,ASL_2008_02_01,24,1470,1500
Tyler,HOPE,HOPE+,ASL_2008_05_29a,52,2355,2372
Naomi,HOPE,HOPE+,ASL_2008_08_13,20,6005,6020
Brady,HOPE,HOPE+,ASL_2011_06_14_Brady,35,4615,4635
Liz,HOSPITAL,HOSPITAL,ASL_2008_02_01,24,2460,2507
Naomi,HOSPITAL,HOSPITAL,ASL_2008_08_13,20,7310,7340
Brady,HOSPITAL,HOSPITAL,ASL_2011_06_14_Brady,35,5571,5592
Lana,HOSPITAL,HOSPITAL,ASL_2006_10_10,15,641,681
Dana,HOSPITAL,HOSPITAL,ASL_2007_05_24,18,554,616
Liz,HOSPITAL,(10)HOSPITAL,ASL_2010_08_10_Liz_additional_lexicon_signs,6,1492,1577
Liz,(B)HOSPITAL_2,(B)HOSPITAL_2,ASL_2010_08_10_Liz_additional_lexicon_signs,11,4470,4550
Brady,(B)HOSPITAL_2,(H)HOSPITAL_2,ASL_2011_06_14_Brady,35,6029,6057
Liz,MEDICAL-PATIENT,MEDICAL-PATIENT,ASL_2008_02_15,32,2766,2810
Brady,MEDICAL-PATIENT,MEDICAL-PATIENT,ASL_2011_07_19_Brady,27,2433,2467
Liz,HOT,HOT,ASL_2008_02_01,25,222,255
Naomi,HOT,HOT,ASL_2008_08_13,20,7742,7755
Brady,HOT,HOT,ASL_2011_06_14_Brady,35,6300,6313
Lana,HOT,HOT,ASL_2006_09_26,61,1533,1555
Liz,SAUSAGE/HOT-DOG,SAUSAGE/HOT-DOG,ASL_2008_01_11,31,339,385
Liz,SAUSAGE/HOT-DOG,SAUSAGE/HOT-DOG,ASL_2008_02_01,25,407,445
Tyler,SAUSAGE/HOT-DOG,SAUSAGE/HOT-DOG,ASL_2008_05_12a,20,1162,1190
Tyler,SAUSAGE/HOT-DOG,SAUSAGE/HOT-DOG,ASL_2008_05_29b,1,270,290
Naomi,SAUSAGE/HOT-DOG,SAUSAGE/HOT-DOG,ASL_2008_08_04,20,762,796
Naomi,SAUSAGE/HOT-DOG,SAUSAGE/HOT-DOG,ASL_2008_08_13,21,240,265
Brady,SAUSAGE/HOT-DOG,SAUSAGE/HOT-DOG,ASL_2011_06_08_Brady,15,7995,8025
Lana,HOUR,HOUR,ASL_2006_10_10,14,1458,1484
Dana,HOUR,HOUR,ASL_2007_05_24,17,1845,1889
Liz,HOUR,HOUR_2,ASL_2008_02_01,25,635,695
Tyler,HOUR,HOUR_2,ASL_2008_05_29b,1,480,531
Naomi,HOUR,HOUR_2,ASL_2008_08_13,21,1375,1410
Brady,HOUR,HOUR_3,ASL_2011_06_14_Brady,37,2693,2722
Liz,ns-HOUSTON,ns-HOUSTON,ASL_2008_02_01,25,1445,1477
Naomi,ns-HOUSTON,ns-HOUSTON,ASL_2008_08_13,21,3960,3987
Liz,HOW,HOW+,ASL_2008_02_01,25,3595,3625
Liz,HOW,HOW+,ASL_2008_02_01,25,3900,3935
Tyler,HOW,HOW++,ASL_2008_05_29b,1,2822,2850
Naomi,HOW,HOW+,ASL_2008_08_13,21,5337,5360
Naomi,HOW,HOW+,ASL_2008_08_13,21,5569,5600
Brady,HOW,HOW+,ASL_2011_06_14_Brady,37,3894,3922
Brady,HOW,HOW+,ASL_2011_06_14_Brady,37,4533,4563
Liz,QMwg,QMwg,ASL_2008_02_01,26,526,555
Tyler,QMwg,QMwg,ASL_2008_05_29b,2,361,382
Naomi,QMwg,QMwg,ASL_2008_08_13,22,217,250
Brady,QMwg,QMwg,ASL_2011_06_14_Brady,37,6474,6506
Liz,HUMBLE,HUMBLE,ASL_2008_02_01,26,772,810
Liz,HUMBLE,HUMBLE,ASL_2008_02_01,26,1285,1325
Tyler,HUMBLE,HUMBLE,ASL_2008_05_29b,2,600,620
Naomi,HUMBLE,(H)HUMBLE,ASL_2008_08_13,22,960,995
Brady,HUMBLE,(1)HUMBLE,ASL_2011_06_14_Brady,37,7315,7339
Liz,ns-HUNGARY,ns-HUNGARY,ASL_2008_02_01,26,2202,2246
Tyler,ns-HUNGARY,ns-HUNGARY,ASL_2008_05_29b,2,1260,1292
Naomi,ns-HUNGARY,ns-HUNGARY,ASL_2008_08_13,22,3277,3320
Brady,ns-HUNGARY,ns-HUNGARY,ASL_2011_06_14_Brady,37,9294,9336
Liz,ns-nat-HUNGARY,ns-nat-HUNGARY,ASL_2008_02_01,26,2430,2455
Naomi,ns-nat-HUNGARY,ns-nat-HUNGARY,ASL_2008_08_13,22,3802,3820
Liz,HUNGRY/WISH,HUNGRY/WISH,ASL_2008_02_01,26,2726,2780
Liz,HUNGRY/WISH,HUNGRY/WISH,ASL_2008_03_28,43,736,773
Tyler,HUNGRY/WISH,HUNGRY/WISH,ASL_2008_05_29b,2,2720,2755
Naomi,HUNGRY/WISH,HUNGRY/WISH,ASL_2008_08_13,22,4137,4177
Liz,HURRICANE,HURRICANE,ASL_2008_02_01,26,3161,3224
Tyler,HURRICANE,HURRICANE,ASL_2008_05_29b,2,3125,3175
Naomi,HURRICANE,HURRICANE,ASL_2008_08_13,22,4812,4832
Liz,HURRY,HURRY++,ASL_2008_02_01,27,420,445
Tyler,HURRY,HURRY++,ASL_2008_05_29b,3,200,235
Naomi,HURRY,HURRY++,ASL_2008_08_13,23,403,435
Lana,HURRY,HURRY+,ASL_2006_10_10,14,1896,1922
Dana,HURRY,HURRY++,ASL_2007_05_24,17,2243,2300
Liz,HURT,HURT+,ASL_2008_02_01,27,620,670
Liz,HURT,HURT,ASL_2008_02_29,32,1013,1060
Liz,HURT,HURT+,ASL_2008_02_29,33,271,354
Tyler,HURT,HURT+,ASL_2008_05_29b,3,370,410
Lana,HURT,HURT+,ASL_2006_10_10,14,2164,2200
Naomi,HURT,HURT_2+,ASL_2008_08_13,23,698,745
Dana,HURT,HURT_2+,ASL_2007_05_24,17,2482,2533
Brady,HURT,HURT_3,ASL_2011_07_19_Brady,83,1424,1458
Liz,THROAT-HURT,THROAT-HURT++,ASL_2008_03_28,16,595,645
Brady,THROAT-HURT,THROAT-HURT+,ASL_2011_07_19_Brady,117,909,952
Liz,HEADACHE,HEADACHE+,ASL_2008_02_01,19,1801,1860
Tyler,HEADACHE,HEADACHE++,ASL_2008_05_29a,47,3802,3840
Naomi,HEADACHE,HEADACHE+,ASL_2008_08_13,15,2591,2630
Brady,HEADACHE,HEADACHE+,ASL_2011_06_14_Brady,32,4377,4411
Liz,EAR-HURT,EAR-HURT+,ASL_2008_01_18,27,935,980
Tyler,EAR-HURT,EAR-HURT++,ASL_2008_05_29a,7,625,665
Brady,EAR-HURT,EAR-HURT+,ASL_2011_06_14_Brady,9,4588,4620
Liz,HYPOCRITE,HYPOCRITE,ASL_2008_02_01,27,1405,1447
Tyler,HYPOCRITE,HYPOCRITE,ASL_2008_05_29b,3,1010,1036
Naomi,HYPOCRITE,HYPOCRITE,ASL_2008_08_13,23,1615,1636
Liz,I,I,ASL_2008_02_01,27,1620,1680
Tyler,I,I,ASL_2008_05_29b,3,1202,1237
Naomi,I,I,ASL_2008_08_13,23,2012,2052
Liz,I-LOVE-YOU,I-LOVE-YOU,ASL_2008_02_01,27,1840,1875
Tyler,I-LOVE-YOU,I-LOVE-YOU,ASL_2008_05_29b,3,1405,1420
Naomi,I-LOVE-YOU,I-LOVE-YOU,ASL_2008_08_13,23,2275,2292
Liz,ICE-CREAM,ICE-CREAM+,ASL_2008_02_01,27,2606,2660
Tyler,ICE-CREAM,ICE-CREAM++,ASL_2008_05_29b,3,2106,2155
Naomi,ICE-CREAM,ICE-CREAM+,ASL_2008_08_13,23,3132,3155
Lana,ICE-CREAM,ICE-CREAM+,ASL_2006_10_10,15,1326,1368
Dana,ICE-CREAM,ICE-CREAM++,ASL_2007_05_24,18,1261,1330
Liz,IDEA,IDEA,ASL_2008_02_01,29,1040,1075
Tyler,IDEA,IDEA,ASL_2008_05_29b,4,1045,1065
Naomi,IDEA,IDEA,ASL_2008_08_13,24,1077,1095
Lana,IDEA,IDEA,ASL_2006_10_10,15,1717,1731
Dana,IDEA,IDEA,ASL_2007_05_24,18,1660,1690
Liz,IDENTIFY,IDENTIFY+,ASL_2008_02_01,29,1301,1361
Liz,IDENTIFY,IDENTIFY,ASL_2008_02_01,29,1515,1560
Naomi,IDENTIFY,IDENTIFY,ASL_2008_08_13,24,1477,1500
Naomi,IDENTIFY,IDENTIFY,ASL_2008_08_13,24,4171,4195
Tyler,IDENTIFICATION,IDENTIFICATION,ASL_2008_05_29b,4,1245,1277
Tyler,IDENTIFICATION,IDENTIFICATION,ASL_2008_05_29b,4,1486,1510
Liz,IGNORE,IGNORE,ASL_2008_02_01,29,2060,2096
Tyler,IGNORE,IGNORE,ASL_2008_05_29b,4,1922,1956
Brady,IGNORE,IGNORE,ASL_2011_06_14_Brady,39,334,351
Liz,IMAGINE,IMAGINE+,ASL_2008_02_01,29,2236,2295
Tyler,IMAGINE,IMAGINE+,ASL_2008_05_29b,4,2148,2185
Naomi,IMAGINE,IMAGINE+,ASL_2008_08_13,24,5610,5653
Brady,IMAGINE,IMAGINE+,ASL_2011_06_14_Brady,39,814,849
Liz,IMAGINE,IMAGINE_2/PARANOID+,ASL_2008_02_15,31,705,756
Brady,IMAGINE,IMAGINE_2/PARANOID+,ASL_2011_07_19_Brady,26,595,624
Liz,(P)PARANOID,(P)PARANOID,ASL_2008_02_15,31,503,542
Brady,(P)PARANOID,(P)PARANOID,ASL_2011_07_19_Brady,26,253,283
Tyler,HALLUCINATE,HALLUCINATE+,ASL_2008_05_29a,50,475,515
Liz,HIGH-ON-DRUGS,HIGH-ON-DRUGS,ASL_2008_02_01,22,826,881
Brady,HIGH-ON-DRUGS,HIGH-ON-DRUGS,ASL_2011_06_14_Brady,34,1466,1484
Liz,FANTASY,FANTASY+,ASL_2008_01_18,38,1540,1595
Tyler,FANTASY,FANTASY+,ASL_2008_05_29a,18,2567,2596
Brady,FANTASY,FANTASY+,ASL_2011_06_14_Brady,16,3296,3346
Liz,IMMATURE,IMMATURE+,ASL_2008_02_01,29,2645,2682
Tyler,IMMATURE,IMMATURE++,ASL_2008_05_29b,4,2367,2400
Naomi,IMMATURE,IMMATURE+,ASL_2008_08_13,24,5975,6015
Brady,IMMATURE,IMMATURE++,ASL_2011_06_14_Brady,39,1015,1043
Liz,IMPORTANT,IMPORTANT,ASL_2008_02_01,29,2891,2940
Tyler,IMPORTANT,IMPORTANT,ASL_2008_05_29b,4,2695,2730
Naomi,IMPORTANT,IMPORTANT,ASL_2008_08_13,24,6263,6305
Brady,IMPORTANT,IMPORTANT,ASL_2011_06_14_Brady,39,1480,1508
Liz,WORTH,WORTH+,ASL_2008_02_01,25,3245,3307
Naomi,WORTH,WORTH+,ASL_2008_08_13,21,5020,5050
Brady,WORTH,WORTH++,ASL_2011_06_14_Brady,37,5855,5894
Liz,IMPOSSIBLE,IMPOSSIBLE+,ASL_2008_02_01,30,250,320
Tyler,IMPOSSIBLE,IMPOSSIBLE++,ASL_2008_05_29b,4,2885,2940
Naomi,IMPOSSIBLE,IMPOSSIBLE+,ASL_2008_08_13,24,6515,6555
Brady,IMPOSSIBLE,IMPOSSIBLE+,ASL_2011_06_14_Brady,39,1718,1752
Dana,IMPRESS-1p,IMPRESS,ASL_2007_05_24,17,3131,3171
Liz,IMPRESS-1p,IMPRESS-1p,ASL_2008_02_01,30,452,486
Naomi,IMPRESS-1p,IMPRESS-1p,ASL_2008_08_13,25,225,257
Brady,IMPRESS-1p,IMPRESS-1p,ASL_2011_06_14_Brady,39,2170,2189
Liz,IMPRESS-MEMORY,IMPRESS-MEMORY,ASL_2008_02_29,10,2722,2772
Brady,IMPRESS-MEMORY,IMPRESS-MEMORY,ASL_2011_07_22_Brady,50,3083,3116
Liz,EMPHASIZE,EMPHASIZE,ASL_2008_01_18,30,2151,2177
Liz,EMPHASIZE,EMPHASIZE,ASL_2008_02_01,30,622,675
Tyler,EMPHASIZE,EMPHASIZE,ASL_2008_05_29a,10,3140,3175
Tyler,EMPHASIZE,EMPHASIZE,ASL_2008_05_29b,5,280,301
Tyler,EMPHASIZE,EMPHASIZE,ASL_2008_05_29b,5,541,565
Naomi,EMPHASIZE,EMPHASIZE,ASL_2008_08_06,30,2460,2500
Naomi,EMPHASIZE,EMPHASIZE,ASL_2008_08_13,25,771,812
Brady,EMPHASIZE,EMPHASIZE,ASL_2011_06_14_Brady,11,7700,7724
Brady,EMPHASIZE,EMPHASIZE,ASL_2011_06_14_Brady,39,1952,1968
Lana,EMPHASIZE,EMPHASIZE,ASL_2006_10_10,14,2843,2867
Liz,IMPROVE-A-LOT,IMPROVE,ASL_2008_02_01,30,2200,2261
Brady,IMPROVE-A-LOT,IMPROVE,ASL_2011_06_14_Brady,39,2676,2708
Tyler,IMPROVE-A-LOT,IMPROVE-A-LOT,ASL_2008_05_29b,5,1070,1105
Naomi,IMPROVE-A-LOT,IMPROVE-A-LOT,ASL_2008_08_13,25,1530,1558
Naomi,IMPROVE-A-LOT,IMPROVE-A-LOT,ASL_2008_08_13,25,2527,2570
Brady,IMPROVE-A-LOT,IMPROVE-A-LOT,ASL_2011_06_14_Brady,39,3275,3308
Liz,GRADUAL-IMPROVE,GRADUAL-IMPROVE,ASL_2008_02_01,30,950,1015
Liz,GRADUAL-IMPROVE,GRADUAL-IMPROVE,ASL_2008_02_01,30,2645,2716
Brady,GRADUAL-IMPROVE,GRADUAL-IMPROVE,ASL_2011_06_14_Brady,39,2956,3009
Brady,GRADUAL-IMPROVE,GRADUAL-IMPROVE,ASL_2011_07_22_Brady,45,2462,2539
Tyler,GRADUAL-IMPROVE,GRADUAL-IMPROVE-A-LOT,ASL_2008_05_29b,5,846,910
Tyler,GRADUAL-IMPROVE,GRADUAL-IMPROVE-A-LOT,ASL_2008_05_29b,5,1300,1370
Naomi,GRADUAL-IMPROVE,GRADUAL-IMPROVE-A-LOT,ASL_2008_08_13,25,1973,2035
Brady,GRADUAL-IMPROVE,GRADUAL-IMPROVE-A-LOT,ASL_2011_06_14_Brady,39,2406,2466
Liz,IN,IN,ASL_2008_02_01,30,3212,3250
Liz,IN,IN++,ASL_2008_02_01,32,910,950
Tyler,IN,IN,ASL_2008_05_29b,5,1620,1641
Tyler,IN,IN++,ASL_2008_05_29b,7,1040,1087
Naomi,IN,IN,ASL_2008_08_13,25,3152,3175
Naomi,IN,IN+,ASL_2008_08_13,27,900,943
Brady,IN,IN,ASL_2011_06_14_Brady,39,3513,3529
Brady,IN,IN+,ASL_2011_06_14_Brady,40,4414,4439
Lana,IN,IN+,ASL_2006_10_10,15,774,804
Dana,IN,IN+,ASL_2007_05_24,18,701,756
Liz,SAVE-MONEY,SAVE-MONEY++,ASL_2008_02_29,22,2355,2435
Brady,SAVE-MONEY,SAVE-MONEY++,ASL_2011_07_19_Brady,72,2432,2479
Dana,SAVE-MONEY,SAVE-MONEY++,ASL_2007_05_24,26,2096,2168
Liz,INCREASE,INCREASE,ASL_2008_02_01,30,3655,3715
Liz,INCREASE,INCREASE++,ASL_2010_08_10_Liz_additional_lexicon_signs,23,460,536
Tyler,INCREASE,INCREASE,ASL_2008_05_29b,5,2040,2067
Naomi,INCREASE,INCREASE,ASL_2008_08_13,25,3767,3786
Brady,INCREASE,INCREASE,ASL_2011_06_14_Brady,39,3966,3981
Lana,INCREASE,INCREASE+,ASL_2006_10_10,15,485,543
Dana,INCREASE,INCREASE,ASL_2007_05_24,18,425,484
Liz,DECREASE,DECREASE,ASL_2008_02_01,47,845,885
Liz,DECREASE,DECREASE,ASL_2008_02_29,8,362,427
Tyler,DECREASE,DECREASE+,ASL_2008_05_12b,16,975,1020
Tyler,DECREASE,DECREASE,ASL_2008_05_29b,19,2117,2145
Naomi,DECREASE,DECREASE,ASL_2008_08_13_session2,2,1950,1985
Brady,DECREASE,DECREASE+,ASL_2011_06_08_Brady,34,2657,2690
Brady,DECREASE,DECREASE,ASL_2011_06_14_Brady,48,3469,3500
Brady,DECREASE,DECREASE,ASL_2011_07_19_Brady,52,2443,2465
Brady,DECREASE,DECREASE,ASL_2011_07_22_Brady,50,2424,2444
Lana,DECREASE,DECREASE+,ASL_2006_10_10,7,246,289
Liz,ns-INDIA,ns-INDIA,ASL_2008_02_01,31,465,501
Tyler,ns-INDIA,ns-INDIA,ASL_2008_05_29b,6,285,316
Naomi,ns-INDIA,ns-INDIA,ASL_2008_08_13,26,265,302
Brady,ns-INDIA,ns-INDIA,ASL_2011_06_14_Brady,39,4504,4532
Liz,INDIVIDUAL,INDIVIDUAL,ASL_2008_02_01,31,650,690
Naomi,INDIVIDUAL,INDIVIDUAL,ASL_2008_08_13,26,515,537
Tyler,INDIVIDUAL,INDIVIDUAL-pl,ASL_2008_05_29b,6,470,510
Brady,INDIVIDUAL,INDIVIDUAL-pl,ASL_2011_06_14_Brady,39,4725,4773
Liz,ns-nat-INDONESIA,ns-nat-INDONESIA,ASL_2008_02_01,31,876,922
Liz,INDUSTRY,INDUSTRY+,ASL_2008_02_01,31,1182,1235
Tyler,INDUSTRY,INDUSTRY+++,ASL_2008_05_29b,6,1355,1402
Naomi,INDUSTRY,INDUSTRY+,ASL_2008_08_13,26,1698,1737
Liz,INFORM,INFORM,ASL_2008_02_01,31,2156,2185
Liz,INFORM,INFORM,ASL_2008_02_15,22,1511,1551
Tyler,INFORM,INFORM,ASL_2008_05_29b,6,2445,2465
Naomi,INFORM,INFORM,ASL_2008_08_13,26,4120,4141
Brady,INFORM,INFORM,ASL_2011_06_14_Brady,40,2949,2975
Brady,INFORM,INFORM,ASL_2011_07_19_Brady,17,3002,3024
Brady,INFORM,INFORM,ASL_2011_07_22_Brady,48,3487,3505
Lana,INFORM,INFORM,ASL_2006_09_26,61,1646,1669
Liz,INFORM,INFORM-1p,ASL_2008_02_01,31,2470,2511
Tyler,INFORM,INFORM-1p,ASL_2008_05_29b,6,2665,2692
Naomi,INFORM,INFORM-1p,ASL_2008_08_13,26,4416,4445
Brady,INFORM,INFORM-1p,ASL_2011_06_14_Brady,40,3177,3204
Liz,INFORM,INFORM-ALL,ASL_2008_02_01,31,1940,1975
Tyler,INFORM,INFORM-ALL,ASL_2008_05_29b,6,2220,2245
Naomi,INFORM,INFORM-ALL,ASL_2008_08_13,26,3842,3887
Brady,INFORM,INFORM-ALL,ASL_2011_06_14_Brady,40,2710,2734
Liz,INJECT,INJECT+,ASL_2008_02_01,5,267,310
Liz,INJECT,INJECT,ASL_2008_02_01,32,290,330
Tyler,INJECT,INJECT,ASL_2008_05_29b,6,2946,2975
Naomi,INJECT,INJECT,ASL_2008_08_13,4,3988,4022
Naomi,INJECT,INJECT,ASL_2008_08_13,26,4798,4828
Brady,INJECT,INJECT,ASL_2011_06_14_Brady,40,3702,3718
Brady,INJECT,INJECT,ASL_2011_07_22_Brady,43,2394,2420
Tyler,INJECT,(3)INJECT,ASL_2008_05_29a,36,2461,2487
Naomi,INJECT,(3)INJECT,ASL_2008_08_13,27,235,270
Brady,INJECT,(3)INJECT,ASL_2011_06_14_Brady,40,3950,3963
Brady,INJECT,(3)INJECT,ASL_2011_07_22_Brady,43,2500,2514
Liz,DRUGS,DRUGS++,ASL_2008_01_18,25,1165,1220
Tyler,DRUGS,DRUGS++,ASL_2008_05_29a,5,1915,1960
Naomi,DRUGS,DRUGS,ASL_2008_08_06,25,1585,1610
Brady,DRUGS,DRUGS+,ASL_2011_06_14_Brady,7,6410,6439
Liz,INNOCENT,INNOCENT,ASL_2008_02_01,32,695,720
Tyler,INNOCENT,INNOCENT,ASL_2008_05_29b,7,305,325
Naomi,INNOCENT,INNOCENT,ASL_2008_08_13,27,692,710
Brady,INNOCENT,INNOCENT,ASL_2011_06_14_Brady,40,4179,4194
Liz,INSPIRE,INSPIRE,ASL_2008_02_01,32,1200,1235
Naomi,INSPIRE,INSPIRE,ASL_2008_08_13,27,1162,1195
Brady,INSPIRE,INSPIRE,ASL_2011_06_14_Brady,40,4662,4687
Tyler,INSPIRE,(5)INSPIRE,ASL_2008_05_29b,7,1392,1412
Liz,INSULT,INSULT,ASL_2008_02_01,33,271,297
Tyler,INSULT,INSULT,ASL_2008_05_12b,10,1996,2022
Tyler,INSULT,INSULT,ASL_2008_05_29b,7,1635,1661
Naomi,INSULT,INSULT,ASL_2008_08_13,27,1453,1483
Brady,INSULT,INSULT,ASL_2011_06_14_Brady,40,5404,5423
Liz,INSURANCE/INFECTION,INSURANCE/INFECTION,ASL_2008_02_01,33,525,565
Liz,INSURANCE/INFECTION,INSURANCE/INFECTION,ASL_2010_08_10_Liz_additional_lexicon_signs,30,2520,2576
Tyler,INSURANCE/INFECTION,INSURANCE/INFECTION,ASL_2008_05_29b,7,1815,1862
Naomi,INSURANCE/INFECTION,INSURANCE/INFECTION,ASL_2008_08_13,27,1765,1802
Brady,INSURANCE/INFECTION,INSURANCE/INFECTION,ASL_2011_06_14_Brady,40,805,831
